"Notes"	"Month Day, Year"	"Month Day, Year Code"	"State"	"State Code"	Avg Daily Max Air Temperature (F)
	"Jan 25, 1979"	"1979/01/25"	"Georgia"	"13"	40.81
"Total"	"Jan 25, 1979"	"1979/01/25"			40.81
	"Jan 26, 1979"	"1979/01/26"	"Georgia"	"13"	44.09
"Total"	"Jan 26, 1979"	"1979/01/26"			44.09
	"Jan 27, 1979"	"1979/01/27"	"Georgia"	"13"	54.87
"Total"	"Jan 27, 1979"	"1979/01/27"			54.87
	"Jan 28, 1979"	"1979/01/28"	"Georgia"	"13"	41.71
"Total"	"Jan 28, 1979"	"1979/01/28"			41.71
	"Jan 29, 1979"	"1979/01/29"	"Georgia"	"13"	44.00
"Total"	"Jan 29, 1979"	"1979/01/29"			44.00
	"Jan 30, 1979"	"1979/01/30"	"Georgia"	"13"	51.95
"Total"	"Jan 30, 1979"	"1979/01/30"			51.95
	"Jan 31, 1979"	"1979/01/31"	"Georgia"	"13"	44.93
"Total"	"Jan 31, 1979"	"1979/01/31"			44.93
	"Feb 01, 1979"	"1979/02/01"	"Georgia"	"13"	38.88
"Total"	"Feb 01, 1979"	"1979/02/01"			38.88
	"Feb 02, 1979"	"1979/02/02"	"Georgia"	"13"	48.00
"Total"	"Feb 02, 1979"	"1979/02/02"			48.00
	"Feb 03, 1979"	"1979/02/03"	"Georgia"	"13"	42.63
"Total"	"Feb 03, 1979"	"1979/02/03"			42.63
	"Feb 04, 1979"	"1979/02/04"	"Georgia"	"13"	52.07
"Total"	"Feb 04, 1979"	"1979/02/04"			52.07
	"Feb 05, 1979"	"1979/02/05"	"Georgia"	"13"	44.67
"Total"	"Feb 05, 1979"	"1979/02/05"			44.67
	"Feb 06, 1979"	"1979/02/06"	"Georgia"	"13"	44.82
"Total"	"Feb 06, 1979"	"1979/02/06"			44.82
	"Feb 07, 1979"	"1979/02/07"	"Georgia"	"13"	52.89
"Total"	"Feb 07, 1979"	"1979/02/07"			52.89
	"Feb 08, 1979"	"1979/02/08"	"Georgia"	"13"	50.25
"Total"	"Feb 08, 1979"	"1979/02/08"			50.25
	"Feb 09, 1979"	"1979/02/09"	"Georgia"	"13"	40.09
"Total"	"Feb 09, 1979"	"1979/02/09"			40.09
	"Feb 10, 1979"	"1979/02/10"	"Georgia"	"13"	46.59
"Total"	"Feb 10, 1979"	"1979/02/10"			46.59
	"Feb 11, 1979"	"1979/02/11"	"Georgia"	"13"	52.69
"Total"	"Feb 11, 1979"	"1979/02/11"			52.69
	"Feb 12, 1979"	"1979/02/12"	"Georgia"	"13"	58.44
"Total"	"Feb 12, 1979"	"1979/02/12"			58.44
	"Feb 13, 1979"	"1979/02/13"	"Georgia"	"13"	55.14
"Total"	"Feb 13, 1979"	"1979/02/13"			55.14
	"Feb 14, 1979"	"1979/02/14"	"Georgia"	"13"	60.58
"Total"	"Feb 14, 1979"	"1979/02/14"			60.58
	"Feb 15, 1979"	"1979/02/15"	"Georgia"	"13"	71.57
"Total"	"Feb 15, 1979"	"1979/02/15"			71.57
	"Feb 16, 1979"	"1979/02/16"	"Georgia"	"13"	69.18
"Total"	"Feb 16, 1979"	"1979/02/16"			69.18
	"Feb 17, 1979"	"1979/02/17"	"Georgia"	"13"	50.81
"Total"	"Feb 17, 1979"	"1979/02/17"			50.81
	"Feb 18, 1979"	"1979/02/18"	"Georgia"	"13"	32.48
"Total"	"Feb 18, 1979"	"1979/02/18"			32.48
	"Feb 19, 1979"	"1979/02/19"	"Georgia"	"13"	44.06
"Total"	"Feb 19, 1979"	"1979/02/19"			44.06
	"Feb 20, 1979"	"1979/02/20"	"Georgia"	"13"	51.67
"Total"	"Feb 20, 1979"	"1979/02/20"			51.67
	"Feb 21, 1979"	"1979/02/21"	"Georgia"	"13"	64.19
"Total"	"Feb 21, 1979"	"1979/02/21"			64.19
	"Feb 22, 1979"	"1979/02/22"	"Georgia"	"13"	69.44
"Total"	"Feb 22, 1979"	"1979/02/22"			69.44
	"Feb 23, 1979"	"1979/02/23"	"Georgia"	"13"	70.81
"Total"	"Feb 23, 1979"	"1979/02/23"			70.81
	"Feb 24, 1979"	"1979/02/24"	"Georgia"	"13"	69.06
"Total"	"Feb 24, 1979"	"1979/02/24"			69.06
	"Feb 25, 1979"	"1979/02/25"	"Georgia"	"13"	64.47
"Total"	"Feb 25, 1979"	"1979/02/25"			64.47
	"Feb 26, 1979"	"1979/02/26"	"Georgia"	"13"	44.49
"Total"	"Feb 26, 1979"	"1979/02/26"			44.49
	"Feb 27, 1979"	"1979/02/27"	"Georgia"	"13"	57.52
"Total"	"Feb 27, 1979"	"1979/02/27"			57.52
	"Feb 28, 1979"	"1979/02/28"	"Georgia"	"13"	60.27
"Total"	"Feb 28, 1979"	"1979/02/28"			60.27
	"Mar 01, 1979"	"1979/03/01"	"Georgia"	"13"	68.99
"Total"	"Mar 01, 1979"	"1979/03/01"			68.99
	"Mar 02, 1979"	"1979/03/02"	"Georgia"	"13"	70.59
"Total"	"Mar 02, 1979"	"1979/03/02"			70.59
	"Mar 03, 1979"	"1979/03/03"	"Georgia"	"13"	68.15
"Total"	"Mar 03, 1979"	"1979/03/03"			68.15
	"Mar 04, 1979"	"1979/03/04"	"Georgia"	"13"	74.24
"Total"	"Mar 04, 1979"	"1979/03/04"			74.24
	"Mar 05, 1979"	"1979/03/05"	"Georgia"	"13"	67.26
"Total"	"Mar 05, 1979"	"1979/03/05"			67.26
	"Mar 06, 1979"	"1979/03/06"	"Georgia"	"13"	58.87
"Total"	"Mar 06, 1979"	"1979/03/06"			58.87
	"Mar 07, 1979"	"1979/03/07"	"Georgia"	"13"	63.35
"Total"	"Mar 07, 1979"	"1979/03/07"			63.35
	"Mar 08, 1979"	"1979/03/08"	"Georgia"	"13"	60.41
"Total"	"Mar 08, 1979"	"1979/03/08"			60.41
	"Mar 09, 1979"	"1979/03/09"	"Georgia"	"13"	62.06
"Total"	"Mar 09, 1979"	"1979/03/09"			62.06
	"Mar 10, 1979"	"1979/03/10"	"Georgia"	"13"	63.88
"Total"	"Mar 10, 1979"	"1979/03/10"			63.88
	"Mar 11, 1979"	"1979/03/11"	"Georgia"	"13"	53.32
"Total"	"Mar 11, 1979"	"1979/03/11"			53.32
	"Mar 12, 1979"	"1979/03/12"	"Georgia"	"13"	62.34
"Total"	"Mar 12, 1979"	"1979/03/12"			62.34
	"Mar 13, 1979"	"1979/03/13"	"Georgia"	"13"	68.61
"Total"	"Mar 13, 1979"	"1979/03/13"			68.61
	"Mar 14, 1979"	"1979/03/14"	"Georgia"	"13"	67.93
"Total"	"Mar 14, 1979"	"1979/03/14"			67.93
	"Mar 15, 1979"	"1979/03/15"	"Georgia"	"13"	56.59
"Total"	"Mar 15, 1979"	"1979/03/15"			56.59
	"Mar 16, 1979"	"1979/03/16"	"Georgia"	"13"	54.96
"Total"	"Mar 16, 1979"	"1979/03/16"			54.96
	"Mar 17, 1979"	"1979/03/17"	"Georgia"	"13"	64.66
"Total"	"Mar 17, 1979"	"1979/03/17"			64.66
	"Mar 18, 1979"	"1979/03/18"	"Georgia"	"13"	70.74
"Total"	"Mar 18, 1979"	"1979/03/18"			70.74
	"Mar 19, 1979"	"1979/03/19"	"Georgia"	"13"	75.13
"Total"	"Mar 19, 1979"	"1979/03/19"			75.13
	"Mar 20, 1979"	"1979/03/20"	"Georgia"	"13"	77.64
"Total"	"Mar 20, 1979"	"1979/03/20"			77.64
	"Mar 21, 1979"	"1979/03/21"	"Georgia"	"13"	76.19
"Total"	"Mar 21, 1979"	"1979/03/21"			76.19
	"Mar 22, 1979"	"1979/03/22"	"Georgia"	"13"	71.69
"Total"	"Mar 22, 1979"	"1979/03/22"			71.69
	"Mar 23, 1979"	"1979/03/23"	"Georgia"	"13"	71.66
"Total"	"Mar 23, 1979"	"1979/03/23"			71.66
	"Mar 24, 1979"	"1979/03/24"	"Georgia"	"13"	59.44
"Total"	"Mar 24, 1979"	"1979/03/24"			59.44
	"Mar 25, 1979"	"1979/03/25"	"Georgia"	"13"	50.54
"Total"	"Mar 25, 1979"	"1979/03/25"			50.54
	"Mar 26, 1979"	"1979/03/26"	"Georgia"	"13"	54.44
"Total"	"Mar 26, 1979"	"1979/03/26"			54.44
	"Mar 27, 1979"	"1979/03/27"	"Georgia"	"13"	66.09
"Total"	"Mar 27, 1979"	"1979/03/27"			66.09
	"Mar 28, 1979"	"1979/03/28"	"Georgia"	"13"	72.28
"Total"	"Mar 28, 1979"	"1979/03/28"			72.28
	"Mar 29, 1979"	"1979/03/29"	"Georgia"	"13"	75.35
"Total"	"Mar 29, 1979"	"1979/03/29"			75.35
	"Mar 30, 1979"	"1979/03/30"	"Georgia"	"13"	75.29
"Total"	"Mar 30, 1979"	"1979/03/30"			75.29
	"Mar 31, 1979"	"1979/03/31"	"Georgia"	"13"	78.20
"Total"	"Mar 31, 1979"	"1979/03/31"			78.20
	"Apr 01, 1979"	"1979/04/01"	"Georgia"	"13"	79.39
"Total"	"Apr 01, 1979"	"1979/04/01"			79.39
	"Apr 02, 1979"	"1979/04/02"	"Georgia"	"13"	74.27
"Total"	"Apr 02, 1979"	"1979/04/02"			74.27
	"Apr 03, 1979"	"1979/04/03"	"Georgia"	"13"	70.68
"Total"	"Apr 03, 1979"	"1979/04/03"			70.68
	"Apr 04, 1979"	"1979/04/04"	"Georgia"	"13"	74.45
"Total"	"Apr 04, 1979"	"1979/04/04"			74.45
	"Apr 05, 1979"	"1979/04/05"	"Georgia"	"13"	64.72
"Total"	"Apr 05, 1979"	"1979/04/05"			64.72
	"Apr 06, 1979"	"1979/04/06"	"Georgia"	"13"	69.28
"Total"	"Apr 06, 1979"	"1979/04/06"			69.28
	"Apr 07, 1979"	"1979/04/07"	"Georgia"	"13"	73.31
"Total"	"Apr 07, 1979"	"1979/04/07"			73.31
	"Apr 08, 1979"	"1979/04/08"	"Georgia"	"13"	69.06
"Total"	"Apr 08, 1979"	"1979/04/08"			69.06
	"Apr 09, 1979"	"1979/04/09"	"Georgia"	"13"	73.91
"Total"	"Apr 09, 1979"	"1979/04/09"			73.91
	"Apr 10, 1979"	"1979/04/10"	"Georgia"	"13"	69.78
"Total"	"Apr 10, 1979"	"1979/04/10"			69.78
	"Apr 11, 1979"	"1979/04/11"	"Georgia"	"13"	79.51
"Total"	"Apr 11, 1979"	"1979/04/11"			79.51
	"Apr 12, 1979"	"1979/04/12"	"Georgia"	"13"	78.71
"Total"	"Apr 12, 1979"	"1979/04/12"			78.71
	"Apr 13, 1979"	"1979/04/13"	"Georgia"	"13"	77.28
"Total"	"Apr 13, 1979"	"1979/04/13"			77.28
	"Apr 14, 1979"	"1979/04/14"	"Georgia"	"13"	75.29
"Total"	"Apr 14, 1979"	"1979/04/14"			75.29
	"Apr 15, 1979"	"1979/04/15"	"Georgia"	"13"	73.49
"Total"	"Apr 15, 1979"	"1979/04/15"			73.49
	"Apr 16, 1979"	"1979/04/16"	"Georgia"	"13"	71.27
"Total"	"Apr 16, 1979"	"1979/04/16"			71.27
	"Apr 17, 1979"	"1979/04/17"	"Georgia"	"13"	72.96
"Total"	"Apr 17, 1979"	"1979/04/17"			72.96
	"Apr 18, 1979"	"1979/04/18"	"Georgia"	"13"	74.22
"Total"	"Apr 18, 1979"	"1979/04/18"			74.22
	"Apr 19, 1979"	"1979/04/19"	"Georgia"	"13"	74.08
"Total"	"Apr 19, 1979"	"1979/04/19"			74.08
	"Apr 20, 1979"	"1979/04/20"	"Georgia"	"13"	77.87
"Total"	"Apr 20, 1979"	"1979/04/20"			77.87
	"Apr 21, 1979"	"1979/04/21"	"Georgia"	"13"	78.08
"Total"	"Apr 21, 1979"	"1979/04/21"			78.08
	"Apr 22, 1979"	"1979/04/22"	"Georgia"	"13"	76.82
"Total"	"Apr 22, 1979"	"1979/04/22"			76.82
	"Apr 23, 1979"	"1979/04/23"	"Georgia"	"13"	75.58
"Total"	"Apr 23, 1979"	"1979/04/23"			75.58
	"Apr 24, 1979"	"1979/04/24"	"Georgia"	"13"	74.77
"Total"	"Apr 24, 1979"	"1979/04/24"			74.77
	"Apr 25, 1979"	"1979/04/25"	"Georgia"	"13"	69.11
"Total"	"Apr 25, 1979"	"1979/04/25"			69.11
	"Apr 26, 1979"	"1979/04/26"	"Georgia"	"13"	73.25
"Total"	"Apr 26, 1979"	"1979/04/26"			73.25
	"Apr 27, 1979"	"1979/04/27"	"Georgia"	"13"	72.61
"Total"	"Apr 27, 1979"	"1979/04/27"			72.61
	"Apr 28, 1979"	"1979/04/28"	"Georgia"	"13"	69.16
"Total"	"Apr 28, 1979"	"1979/04/28"			69.16
	"Apr 29, 1979"	"1979/04/29"	"Georgia"	"13"	67.26
"Total"	"Apr 29, 1979"	"1979/04/29"			67.26
	"Apr 30, 1979"	"1979/04/30"	"Georgia"	"13"	68.78
"Total"	"Apr 30, 1979"	"1979/04/30"			68.78
	"May 01, 1979"	"1979/05/01"	"Georgia"	"13"	76.85
"Total"	"May 01, 1979"	"1979/05/01"			76.85
	"May 02, 1979"	"1979/05/02"	"Georgia"	"13"	74.55
"Total"	"May 02, 1979"	"1979/05/02"			74.55
	"May 03, 1979"	"1979/05/03"	"Georgia"	"13"	80.08
"Total"	"May 03, 1979"	"1979/05/03"			80.08
	"May 04, 1979"	"1979/05/04"	"Georgia"	"13"	82.31
"Total"	"May 04, 1979"	"1979/05/04"			82.31
	"May 05, 1979"	"1979/05/05"	"Georgia"	"13"	78.77
"Total"	"May 05, 1979"	"1979/05/05"			78.77
	"May 06, 1979"	"1979/05/06"	"Georgia"	"13"	80.68
"Total"	"May 06, 1979"	"1979/05/06"			80.68
	"May 07, 1979"	"1979/05/07"	"Georgia"	"13"	77.92
"Total"	"May 07, 1979"	"1979/05/07"			77.92
	"May 08, 1979"	"1979/05/08"	"Georgia"	"13"	76.72
"Total"	"May 08, 1979"	"1979/05/08"			76.72
	"May 09, 1979"	"1979/05/09"	"Georgia"	"13"	77.63
"Total"	"May 09, 1979"	"1979/05/09"			77.63
	"May 10, 1979"	"1979/05/10"	"Georgia"	"13"	81.75
"Total"	"May 10, 1979"	"1979/05/10"			81.75
	"May 11, 1979"	"1979/05/11"	"Georgia"	"13"	82.81
"Total"	"May 11, 1979"	"1979/05/11"			82.81
	"May 12, 1979"	"1979/05/12"	"Georgia"	"13"	82.32
"Total"	"May 12, 1979"	"1979/05/12"			82.32
	"May 13, 1979"	"1979/05/13"	"Georgia"	"13"	80.15
"Total"	"May 13, 1979"	"1979/05/13"			80.15
	"May 14, 1979"	"1979/05/14"	"Georgia"	"13"	77.36
"Total"	"May 14, 1979"	"1979/05/14"			77.36
	"May 15, 1979"	"1979/05/15"	"Georgia"	"13"	79.14
"Total"	"May 15, 1979"	"1979/05/15"			79.14
	"May 16, 1979"	"1979/05/16"	"Georgia"	"13"	79.64
"Total"	"May 16, 1979"	"1979/05/16"			79.64
	"May 17, 1979"	"1979/05/17"	"Georgia"	"13"	77.58
"Total"	"May 17, 1979"	"1979/05/17"			77.58
	"May 18, 1979"	"1979/05/18"	"Georgia"	"13"	76.07
"Total"	"May 18, 1979"	"1979/05/18"			76.07
	"May 19, 1979"	"1979/05/19"	"Georgia"	"13"	81.55
"Total"	"May 19, 1979"	"1979/05/19"			81.55
	"May 20, 1979"	"1979/05/20"	"Georgia"	"13"	81.71
"Total"	"May 20, 1979"	"1979/05/20"			81.71
	"May 21, 1979"	"1979/05/21"	"Georgia"	"13"	83.21
"Total"	"May 21, 1979"	"1979/05/21"			83.21
	"May 22, 1979"	"1979/05/22"	"Georgia"	"13"	83.38
"Total"	"May 22, 1979"	"1979/05/22"			83.38
	"May 23, 1979"	"1979/05/23"	"Georgia"	"13"	79.13
"Total"	"May 23, 1979"	"1979/05/23"			79.13
	"May 24, 1979"	"1979/05/24"	"Georgia"	"13"	77.30
"Total"	"May 24, 1979"	"1979/05/24"			77.30
	"May 25, 1979"	"1979/05/25"	"Georgia"	"13"	66.80
"Total"	"May 25, 1979"	"1979/05/25"			66.80
	"May 26, 1979"	"1979/05/26"	"Georgia"	"13"	69.44
"Total"	"May 26, 1979"	"1979/05/26"			69.44
	"May 27, 1979"	"1979/05/27"	"Georgia"	"13"	71.78
"Total"	"May 27, 1979"	"1979/05/27"			71.78
	"May 28, 1979"	"1979/05/28"	"Georgia"	"13"	78.44
"Total"	"May 28, 1979"	"1979/05/28"			78.44
	"May 29, 1979"	"1979/05/29"	"Georgia"	"13"	80.27
"Total"	"May 29, 1979"	"1979/05/29"			80.27
	"May 30, 1979"	"1979/05/30"	"Georgia"	"13"	83.75
"Total"	"May 30, 1979"	"1979/05/30"			83.75
	"May 31, 1979"	"1979/05/31"	"Georgia"	"13"	80.22
"Total"	"May 31, 1979"	"1979/05/31"			80.22
	"Jun 01, 1979"	"1979/06/01"	"Georgia"	"13"	82.38
"Total"	"Jun 01, 1979"	"1979/06/01"			82.38
	"Jun 02, 1979"	"1979/06/02"	"Georgia"	"13"	85.09
"Total"	"Jun 02, 1979"	"1979/06/02"			85.09
	"Jun 03, 1979"	"1979/06/03"	"Georgia"	"13"	84.70
"Total"	"Jun 03, 1979"	"1979/06/03"			84.70
	"Jun 04, 1979"	"1979/06/04"	"Georgia"	"13"	85.51
"Total"	"Jun 04, 1979"	"1979/06/04"			85.51
	"Jun 05, 1979"	"1979/06/05"	"Georgia"	"13"	85.36
"Total"	"Jun 05, 1979"	"1979/06/05"			85.36
	"Jun 06, 1979"	"1979/06/06"	"Georgia"	"13"	83.33
"Total"	"Jun 06, 1979"	"1979/06/06"			83.33
	"Jun 07, 1979"	"1979/06/07"	"Georgia"	"13"	86.24
"Total"	"Jun 07, 1979"	"1979/06/07"			86.24
	"Jun 08, 1979"	"1979/06/08"	"Georgia"	"13"	85.42
"Total"	"Jun 08, 1979"	"1979/06/08"			85.42
	"Jun 09, 1979"	"1979/06/09"	"Georgia"	"13"	85.91
"Total"	"Jun 09, 1979"	"1979/06/09"			85.91
	"Jun 10, 1979"	"1979/06/10"	"Georgia"	"13"	86.21
"Total"	"Jun 10, 1979"	"1979/06/10"			86.21
	"Jun 11, 1979"	"1979/06/11"	"Georgia"	"13"	82.64
"Total"	"Jun 11, 1979"	"1979/06/11"			82.64
	"Jun 12, 1979"	"1979/06/12"	"Georgia"	"13"	78.98
"Total"	"Jun 12, 1979"	"1979/06/12"			78.98
	"Jun 13, 1979"	"1979/06/13"	"Georgia"	"13"	81.74
"Total"	"Jun 13, 1979"	"1979/06/13"			81.74
	"Jun 14, 1979"	"1979/06/14"	"Georgia"	"13"	79.73
"Total"	"Jun 14, 1979"	"1979/06/14"			79.73
	"Jun 15, 1979"	"1979/06/15"	"Georgia"	"13"	74.53
"Total"	"Jun 15, 1979"	"1979/06/15"			74.53
	"Jun 16, 1979"	"1979/06/16"	"Georgia"	"13"	78.28
"Total"	"Jun 16, 1979"	"1979/06/16"			78.28
	"Jun 17, 1979"	"1979/06/17"	"Georgia"	"13"	84.44
"Total"	"Jun 17, 1979"	"1979/06/17"			84.44
	"Jun 18, 1979"	"1979/06/18"	"Georgia"	"13"	89.57
"Total"	"Jun 18, 1979"	"1979/06/18"			89.57
	"Jun 19, 1979"	"1979/06/19"	"Georgia"	"13"	90.95
"Total"	"Jun 19, 1979"	"1979/06/19"			90.95
	"Jun 20, 1979"	"1979/06/20"	"Georgia"	"13"	85.26
"Total"	"Jun 20, 1979"	"1979/06/20"			85.26
	"Jun 21, 1979"	"1979/06/21"	"Georgia"	"13"	84.11
"Total"	"Jun 21, 1979"	"1979/06/21"			84.11
	"Jun 22, 1979"	"1979/06/22"	"Georgia"	"13"	85.90
"Total"	"Jun 22, 1979"	"1979/06/22"			85.90
	"Jun 23, 1979"	"1979/06/23"	"Georgia"	"13"	86.97
"Total"	"Jun 23, 1979"	"1979/06/23"			86.97
	"Jun 24, 1979"	"1979/06/24"	"Georgia"	"13"	85.90
"Total"	"Jun 24, 1979"	"1979/06/24"			85.90
	"Jun 25, 1979"	"1979/06/25"	"Georgia"	"13"	83.40
"Total"	"Jun 25, 1979"	"1979/06/25"			83.40
	"Jun 26, 1979"	"1979/06/26"	"Georgia"	"13"	76.73
"Total"	"Jun 26, 1979"	"1979/06/26"			76.73
	"Jun 27, 1979"	"1979/06/27"	"Georgia"	"13"	79.05
"Total"	"Jun 27, 1979"	"1979/06/27"			79.05
	"Jun 28, 1979"	"1979/06/28"	"Georgia"	"13"	83.33
"Total"	"Jun 28, 1979"	"1979/06/28"			83.33
	"Jun 29, 1979"	"1979/06/29"	"Georgia"	"13"	84.17
"Total"	"Jun 29, 1979"	"1979/06/29"			84.17
	"Jun 30, 1979"	"1979/06/30"	"Georgia"	"13"	86.25
"Total"	"Jun 30, 1979"	"1979/06/30"			86.25
	"Jul 01, 1979"	"1979/07/01"	"Georgia"	"13"	87.82
"Total"	"Jul 01, 1979"	"1979/07/01"			87.82
	"Jul 02, 1979"	"1979/07/02"	"Georgia"	"13"	89.66
"Total"	"Jul 02, 1979"	"1979/07/02"			89.66
	"Jul 03, 1979"	"1979/07/03"	"Georgia"	"13"	92.96
"Total"	"Jul 03, 1979"	"1979/07/03"			92.96
	"Jul 04, 1979"	"1979/07/04"	"Georgia"	"13"	92.57
"Total"	"Jul 04, 1979"	"1979/07/04"			92.57
	"Jul 05, 1979"	"1979/07/05"	"Georgia"	"13"	90.93
"Total"	"Jul 05, 1979"	"1979/07/05"			90.93
	"Jul 06, 1979"	"1979/07/06"	"Georgia"	"13"	84.78
"Total"	"Jul 06, 1979"	"1979/07/06"			84.78
	"Jul 07, 1979"	"1979/07/07"	"Georgia"	"13"	81.76
"Total"	"Jul 07, 1979"	"1979/07/07"			81.76
	"Jul 08, 1979"	"1979/07/08"	"Georgia"	"13"	77.20
"Total"	"Jul 08, 1979"	"1979/07/08"			77.20
	"Jul 09, 1979"	"1979/07/09"	"Georgia"	"13"	77.02
"Total"	"Jul 09, 1979"	"1979/07/09"			77.02
	"Jul 10, 1979"	"1979/07/10"	"Georgia"	"13"	80.54
"Total"	"Jul 10, 1979"	"1979/07/10"			80.54
	"Jul 11, 1979"	"1979/07/11"	"Georgia"	"13"	82.42
"Total"	"Jul 11, 1979"	"1979/07/11"			82.42
	"Jul 12, 1979"	"1979/07/12"	"Georgia"	"13"	84.70
"Total"	"Jul 12, 1979"	"1979/07/12"			84.70
	"Jul 13, 1979"	"1979/07/13"	"Georgia"	"13"	88.61
"Total"	"Jul 13, 1979"	"1979/07/13"			88.61
	"Jul 14, 1979"	"1979/07/14"	"Georgia"	"13"	89.44
"Total"	"Jul 14, 1979"	"1979/07/14"			89.44
	"Jul 15, 1979"	"1979/07/15"	"Georgia"	"13"	90.74
"Total"	"Jul 15, 1979"	"1979/07/15"			90.74
	"Jul 16, 1979"	"1979/07/16"	"Georgia"	"13"	92.22
"Total"	"Jul 16, 1979"	"1979/07/16"			92.22
	"Jul 17, 1979"	"1979/07/17"	"Georgia"	"13"	88.56
"Total"	"Jul 17, 1979"	"1979/07/17"			88.56
	"Jul 18, 1979"	"1979/07/18"	"Georgia"	"13"	85.64
"Total"	"Jul 18, 1979"	"1979/07/18"			85.64
	"Jul 19, 1979"	"1979/07/19"	"Georgia"	"13"	84.92
"Total"	"Jul 19, 1979"	"1979/07/19"			84.92
	"Jul 20, 1979"	"1979/07/20"	"Georgia"	"13"	84.60
"Total"	"Jul 20, 1979"	"1979/07/20"			84.60
	"Jul 21, 1979"	"1979/07/21"	"Georgia"	"13"	86.74
"Total"	"Jul 21, 1979"	"1979/07/21"			86.74
	"Jul 22, 1979"	"1979/07/22"	"Georgia"	"13"	85.30
"Total"	"Jul 22, 1979"	"1979/07/22"			85.30
	"Jul 23, 1979"	"1979/07/23"	"Georgia"	"13"	86.18
"Total"	"Jul 23, 1979"	"1979/07/23"			86.18
	"Jul 24, 1979"	"1979/07/24"	"Georgia"	"13"	85.35
"Total"	"Jul 24, 1979"	"1979/07/24"			85.35
	"Jul 25, 1979"	"1979/07/25"	"Georgia"	"13"	83.76
"Total"	"Jul 25, 1979"	"1979/07/25"			83.76
	"Jul 26, 1979"	"1979/07/26"	"Georgia"	"13"	85.58
"Total"	"Jul 26, 1979"	"1979/07/26"			85.58
	"Jul 27, 1979"	"1979/07/27"	"Georgia"	"13"	88.04
"Total"	"Jul 27, 1979"	"1979/07/27"			88.04
	"Jul 28, 1979"	"1979/07/28"	"Georgia"	"13"	91.36
"Total"	"Jul 28, 1979"	"1979/07/28"			91.36
